Sentence,Anger,Disgust,Fear,Joy,Sadness,Top Feeling
Perhaps this Odyssey had no English version because is not enough funny.,0.312971,0.241968,0.242158,0.048721,0.293855,Anger
not suitable for popcorn and coke audience.,0.158322,0.137117,0.15763,0.195813,0.303806,Sadness
However suitable for Homer pathos and existentialist reflections.,0.157751,0.119307,0.133239,0.255102,0.256371,Sadness
In Italy was recently released a very good DVD version INTEGRAL with excellent colors.,0.042755,0.027468,0.071849,0.681896,0.059754,Joy
You can find it in some file sharing but its Italian only and without subtitles.,0.141962,0.120569,0.181768,0.221044,0.267544,Sadness
Too bad also the dialogs and the voices of this film are remarkable.,0.130056,0.289979,0.259929,0.04756,0.38667,Sadness
Screened at the San Francisco International Film Festival under the title  Come Undone April 25 26  27 2001.,0.119265,0.221698,0.02213,0.065548,0.605919,Sadness
The cinematographer uses techniques that add to the storytelling.,0.106548,0.067189,0.112335,0.32983,0.253446,Joy
Even with fallwinter backgrounds for the present and spring summer for the flashbacks there can be some difficulty following the continuity.,0.03634,0.025383,0.202301,0.418974,0.161127,Joy
Whether either lead is gay the actors wellportray the budding relationship in real life terms.,0.084164,0.090564,0.204937,0.042521,0.626881,Sadness
from physical violence toward each other to their passionate lovemaking.,0.253725,0.250865,0.125483,0.141074,0.263199,Sadness
The story pulls you into the characters a bit slowly in the beginning.,0.17374,0.182176,0.168382,0.053941,0.501998,Sadness
But as the end approaches you really care about where these guys will be next summer You too will want a sequel to find out.,0.060449,0.105718,0.341133,0.079552,0.431133,Sadness
Opening scene explains why Hurt is later immune to the Contaminated Man.,0.271633,0.311073,0.187785,0.002456,0.424225,Sadness
Too bad it doesnt explain anything else How did he get whatever he caughtwhat was itwhy does it work so fast.,0.397983,0.15083,0.108503,0.008216,0.496454,Sadness
Then we go to Present Day Budapest.,0.040296,0.040829,0.103231,0.618903,0.068189,Joy
OK was the opener in the past or the future It turns out to be the past of course but for a minute it looks just as likely to be the nd of the movie moved to the beginning.,0.062941,0.015157,0.229254,0.088793,0.572636,Sadness
Sorry I should have paid closer attention huh Or maybe its just badly done.,0.140865,0.125919,0.337955,0.000508,0.538632,Sadness
Then a lot of confusion about the different jobs hes had in related fields and finally a mention about how he should have died from the original experiment the n s a did on him.,0.338278,0.120875,0.219261,0.041699,0.396131,Sadness
Then theres the substance itself Technically a poison but it mutates in immune carriers so we can have whatever we want.,0.21961,0.193704,0.126844,0.027706,0.547322,Sadness
a poison a disease an allergic reaction all very different things in real life.,0.169356,0.091085,0.061086,0.014643,0.747729,Sadness
Magically its not contagious from one dying victim to another only from the carrier.,0.062211,0.240023,0.128553,0.000571,0.695217,Sadness
Then theres the h a z m a t protocol They jump into a situation without having any idea whats in store or how prepare for it.,0.127377,0.11078,0.117955,0.476153,0.058685,Joy
Despite the mysteriously positive reviews and high rating this is an awful movie.,0.25574,0.130354,0.109157,0.236028,0.215981,Anger
Awful enough that l feel obligated to warn you how bad it is.,0.60157,0.144986,0.296054,0.000702,0.159835,Anger
The movie is set in the final period of the Raj during the time of Indias fight for independence.,0.128533,0.053713,0.146214,0.203068,0.387313,Sadness
What follows in the ridiculous plot just fills me with disbelief.,0.773267,0.148429,0.066739,0.012498,0.131827,Anger
What the characters do and how they behave just does not persuade me that the characters exist in that era.,0.126981,0.437557,0.04808,0.03068,0.474735,Sadness
Such idiocies combined with the poor acting drove me to leave the cinema an hour into the movie so i did not watch the second half of the movie.,0.350507,0.209909,0.238995,0.003975,0.389604,Sadness
One could only hope the ending is of more intelligence than what i saw in the first half.,0.058706,0.398357,0.265634,0.139431,0.163381,Disgust
Following a dispute with Anderson Laurel continued the informal series of parodies at Joe Rocks smaller and more indigent production company.,0.241064,0.049861,0.063234,0.269823,0.276928,Sadness
Most of Laurels parody films were only mildly funny at the time and even less funny for modern audiences who havent seen the original movie which Laurel is parodying.,0.088506,0.178944,0.095839,0.339405,0.189853,Joy
West of Hot Dog is a fairly generic parody of cowboy shootemups.,0.10559,0.122336,0.143375,0.303475,0.225368,Joy
Its marginally a specific parody of West of the Pecos an oater released two years earlier with no major actors.,0.074866,0.100975,0.083611,0.352934,0.252852,Joy
And where did they get that title West of Hot Dog Possibly its down to the fact that Hot dog was a sexual interjection favoured by American lechers in the 1920s.,0.21471,0.40332,0.081052,0.036723,0.400878,Disgust
As in the opening scene of the stage play Machinal.,0.119115,0.291402,0.087134,0.071244,0.487286,Sadness
West of Hot Dog was produced and codirected by Joe Rock.,0.039034,0.099439,0.101536,0.432198,0.181802,Joy
Among his many other achievements Rock introduced Laurel to Lois Neilson and he was subsequently best man at their wedding.,0.023121,0.025088,0.014176,0.717309,0.100611,Joy
Full disclosure In the last years of his life I had the great privilege of befriending Joe Rock and interviewing him.,0.013634,0.056512,0.041975,0.652452,0.103831,Joy
Nearly ninety years old at the time Rocks memory was impressively clear .,0.125982,0.093743,0.065343,0.210136,0.41618,Sadness
but he remembered nothing at all about West of Hot Dog and I cant blame him.,0.194391,0.332296,0.25912,0.064514,0.263778,Disgust
This movie is eminently forgettable.,0.076817,0.071629,0.084335,0.459724,0.164196,Joy
The leading ladys character is named Little Mustard If thats meant to be a parody of something in West of the Pecos I dont get it.,0.200022,0.147918,0.171409,0.022717,0.575958,Sadness
There are a couple of impossible gags here including Laurels method for mounting a horse.,0.311417,0.261363,0.055417,0.058392,0.416654,Sadness
For just one moment in this movie Stan Laurel reminded me of the great Buster Keaton when he suddenly broke into a run.,0.021218,0.016235,0.266479,0.296817,0.252804,Joy
West of Hot Dog is vaguely similar in subject matter and tone to Keatons short comedy The Frozen North but Keatons version is much funnier.,0.053128,0.186748,0.196786,0.193592,0.309248,Sadness
However the brothers will become the legal heirs if Stan dies.,0.126763,0.113892,0.133522,0.016052,0.698182,Sadness
I had plenty of time to consider such points of law while watching this dull comedy.,0.224855,0.13195,0.089019,0.086306,0.496693,Sadness
At one point a gag involves some crude animation drawn directly onto the film stock.,0.272514,0.414766,0.191641,0.013152,0.301715,Disgust
It looks cheap and isnt funny.,0.163806,0.477455,0.215011,0.010782,0.314578,Disgust
This Hot Dog is no weiner and no winner its just a whiner.,0.070958,0.318737,0.23757,0.26733,0.058731,Disgust
My rating one point out of 10.,0.261301,0.094497,0.175808,0.037948,0.520625,Sadness
Hang on Stan in a few more years youll be onehalf of a comedy legend.,0.123379,0.163412,0.122973,0.227375,0.291366,Sadness
Be careful with this one.,0.135427,0.084185,0.142527,0.237999,0.313895,Sadness
Once you get yer mitts on it itll change the way you look at kungfu flicks.,0.118355,0.079727,0.134388,0.354597,0.192314,Joy
The success of someone liking the film depends on the viewers ability to decipher which character is which and who specializes in what venom.,0.127855,0.230009,0.027809,0.476623,0.042549,Joy
One is the Centipede two is the Snake three is the Scorpion four is the Lizard and five is the Toad.,0.169712,0.491905,0.21694,0.024891,0.255988,Disgust
Each character has different traits characteristics strengths and weaknesses.,0.091252,0.08462,0.205943,0.063126,0.5761,Sadness
Therein lies the hook we learn along with the student character finding out who these different men turn out to be.,0.244192,0.375219,0.115376,0.049434,0.344258,Disgust
We are in his shoes so to speak and we have to pick who we trust and who we dont just like he does.,0.314218,0.292293,0.102045,0.159547,0.170747,Anger
We learn along with him.,0.061813,0.014221,0.151416,0.47524,0.142826,Joy
Not only is the plot the characters and the camerawork great its also fun to watch which in my book makes it more valuable than almost any other movie of its kind.,0.018293,0.043508,0.019989,0.779315,0.050127,Joy
Its worth quite a few watches to pick up on everything thats going on.,0.101349,0.061036,0.090013,0.509695,0.107824,Joy
Venoms is a lesson on what kungfu can really do.,0.358796,0.262606,0.240679,0.032671,0.270642,Anger
just dont expect many other kungfu films to live up to its gauntlet.,0.146909,0.317005,0.081666,0.20764,0.218776,Disgust
Sounds familiar Director Russ Meyer and David Friedman the producer behind the ILSA flicks are good friends and they started their careers together.,0.076535,0.078157,0.073684,0.627108,0.038353,Joy
So obviously theres a connection there.,0.526463,0.152478,0.115767,0.060009,0.255566,Anger
His films started to look positively quaint next to DEEP THROAT and other hardcore porno blockbusters.,0.100326,0.241151,0.238518,0.319822,0.032941,Joy
Meyer knew he couldnt compete with such films and BLACKSNAKE is sorta the end result of such a quandary in his career.,0.158857,0.294483,0.132914,0.188172,0.212828,Disgust
He obviously wanted to branch out into different uncharted territory.,0.378149,0.260485,0.104468,0.017822,0.411017,Sadness
But BLACKSNAKE bombed at the B. and Meyer quickly returned to making VIXEN type of films that even if they still werent pornographic they were most definitely more overthetop than any of his previous films.,0.177867,0.450148,0.137798,0.098561,0.207334,Disgust
Its no wonder BLACKSNAKE was a B. Its just terrible.,0.263196,0.423114,0.330106,0.00135,0.209464,Disgust
Its a quasicampy take on slavery if you can imagine that.,0.250008,0.345966,0.37512,0.023838,0.185733,Fear
The end result is jarring.,0.154673,0.126968,0.111952,0.194291,0.35886,Sadness
One minute were in typical Meyer territory exuberant playful and silly and then the next minute super serious meditation on slavery and violence.,0.406222,0.18546,0.23434,0.023325,0.316715,Anger
Huh It just doesnt work.,0.193384,0.067747,0.279614,0.018562,0.549226,Sadness
The slaveryracism aspect is woefully mishandled and veers this movie in the true exploitation category.,0.288198,0.187461,0.173566,0.097114,0.309808,Sadness
Meyer blames the failure of BLACKSNAKE because and I quote It didnt have enough breasts in it.,0.13481,0.2983,0.157877,0.000893,0.570449,Sadness
Well Im sorry Russ but the film is just bad breast or no breasts.,0.081819,0.15725,0.518293,0.001792,0.381468,Fear
But hes right though about the low breast quota.,0.184863,0.256653,0.418222,0.017701,0.289333,Fear
Except for Anouska and the maid the films cast is male.,0.23156,0.423242,0.248007,0.028927,0.24113,Disgust
Meyer replaces his usual bevy of buxom babes with throng of hunks with massive pecs in the form of anonymous black actors playing the slaves and the big David Darth Vader Prowse.,0.091177,0.225675,0.516102,0.06807,0.174311,Fear
And with Anouskas right hand man around who is portrayed as a ruthless but clever gay man who enjoys the power he has over the men one can only wonder what Meyer was really trying to create here.,0.125704,0.287209,0.034964,0.423784,0.042677,Joy
BLACKSNAKE stars David Warbeck who is lusted after by Anouska and her right hand man.,0.061124,0.213386,0.08452,0.478092,0.055581,Joy
He looks totally befuddled by the whole experience.,0.088031,0.192278,0.163341,0.382103,0.076357,Joy
He did seem to have fun making the movie but you can clearly see that at times he has no idea whats going on.,0.020538,0.025961,0.052016,0.374867,0.345223,Joy
And then theres Anouska Hempel.,0.169397,0.141085,0.160613,0.185576,0.306019,Sadness
Shes a beautiful woman.,0.003326,0.052275,0.00824,0.660086,0.136762,Joy
for the 1970s not the 1870s.,0.171227,0.131477,0.172706,0.172181,0.321531,Sadness
With her makeup and hair she looks like a typical 1970s Brit pinup babe than a turn of the century dominatrix.,0.045525,0.101547,0.108975,0.380943,0.221414,Joy
And her wardrobe is hilarious.,0.094684,0.07745,0.093531,0.490396,0.113061,Joy
At one time she actually unzips her leather boots I didnt know they had zippers in those days.,0.234665,0.19644,0.2133,0.081338,0.348899,Sadness
But the character she plays is in itself really degrading no pun intended.,0.209217,0.237735,0.142112,0.055576,0.446005,Sadness
Shes nothing but a cipher to the object of lust and scorn of every men and that woman on the island.,0.184489,0.579855,0.087401,0.029565,0.263567,Disgust
For example one night when David and Anouska are getting it on her annoying slave driver walks in the room knocks David unconscious and tries to rape her groping her savagely.,0.491264,0.388577,0.342636,0.00064,0.030853,Anger
The next day the slave driver is still working for Anouska and the two act as if nothing had happened.,0.100572,0.187712,0.284518,0.032123,0.496262,Sadness
Its totally ludicrous.,0.364823,0.341654,0.319161,0.032029,0.127653,Anger
Under any circumstance had her character been a real person Anouska would have whipped the slave driver senseless and kicked his butt off the island.,0.255123,0.467365,0.252605,0.014636,0.210839,Disgust
Or even killed him.,0.246405,0.345577,0.078926,0.000647,0.514246,Sadness
But the fact that the woman keeps him on her plantation after he tried to rape her is stretching the flimsy story and characters credulity to the max.,0.187031,0.718582,0.054875,0.001788,0.206401,Disgust
Ridiculous details like this and the thoroughly startling blaxploitation angle makes BLACKSNAKE a strangely unpleasant but watchable movie.,0.532557,0.194138,0.036414,0.132774,0.148509,Anger
Watchable in the train wreck variety.,0.360839,0.288532,0.136896,0.017947,0.369507,Sadness
I just couldnt help but watch the film for the utter baseless aspects of it all the excellent cinematography sorta makes it easier to watch.,0.07651,0.098332,0.027653,0.490141,0.166827,Joy
So this being an exploitation film I guess it succeeded in doing what it was supposed to do.,0.382335,0.062063,0.348636,0.061239,0.24301,Anger
But BLACKSNAKE is mainly for Russ Meyer completists.,0.175182,0.148696,0.154583,0.207554,0.270886,Sadness
While the idea is more original than most SciFi movies the execution is as usual lacking.,0.155451,0.236121,0.117518,0.065763,0.484138,Sadness
I suspect that was the idea all along.,0.086907,0.125871,0.460006,0.072463,0.303367,Fear
They do the best they can with what they have but the must see moments for me were in the first 40 minutes or so when Morenas character sported some Tomb Raider style shorts.,0.031897,0.022541,0.059046,0.48239,0.229986,Joy
Not high brow cinema I know but you cant deny true beauty when you see it And Adam Baldwin once again hams it up as the guy you love to hate.,0.19325,0.245714,0.01369,0.342394,0.128466,Joy
If you just want to watch a couple of your favorite Firefly characters have a good time with some sub par material then this might be for you.,0.085061,0.011621,0.045988,0.452007,0.239203,Joy
If you want good acting and character development then be advised to look elsewhere.,0.091235,0.061103,0.065712,0.467191,0.171706,Joy
My title ought to be enough.,0.356033,0.050086,0.047315,0.112922,0.441606,Sadness
It baffles me that a culture so rich in literary excellence Dumas Flaubert Balzac Maupassant would churn out such tosh as the nouvelle vague cinematic movement.,0.226491,0.26871,0.074577,0.069691,0.434463,Sadness
Until the 20th century France had a great tradition of artistic lucidity and clever philosophy.,0.06234,0.035289,0.070078,0.542698,0.143146,Joy
Ohlala quel artiste.,0.158201,0.124013,0.139999,0.244426,0.261633,Sadness
No Truffaut maintains a degree of visual clarity.,0.134666,0.140851,0.121338,0.24523,0.280841,Sadness
But so does the security camera at a quickiemart.,0.097369,0.193695,0.245161,0.187845,0.243391,Fear
The two are indistinguishable.,0.101115,0.147311,0.065172,0.243611,0.350386,Sadness
Haha just as an aside to all you dweeby film school nerds I bet the vein is popping out the side of your neck right now.,0.121287,0.146467,0.182474,0.428965,0.023528,Joy
But dont leave without reading the last sentence of my review.,0.154931,0.373323,0.150766,0.023135,0.440096,Sadness
Anyway if you like French literature you will HATE this.,0.709818,0.095574,0.057737,0.000893,0.284892,Anger
People who like this movie probably have never read any books other than the ramblings of Jack Kerouac or maybe Hitchhikers Guide to the Galaxy.,0.09692,0.333136,0.067037,0.184445,0.290346,Disgust
Or maybe they have read the lyrics to The Doors songs and they think thats profoundly moving.,0.104948,0.104549,0.212956,0.281243,0.199598,Joy
Whatever floats yer boat.,0.212325,0.1031,0.092098,0.298674,0.206236,Joy
I find it ironic that this film injects some weak allusions to Balzac one of the finest and most meaningful writers who ever lived.,0.208581,0.194259,0.143838,0.154667,0.301602,Sadness
Nice try Truffles.,0.068488,0.037112,0.062936,0.528982,0.154352,Joy
But youre nowhere near the ballpark.,0.173128,0.133288,0.170602,0.174361,0.317262,Sadness
Avoid this film like an aidsinfected syringe.,0.205603,0.475188,0.274862,0.028078,0.193043,Disgust
If youre an idiot enjoy your Truffaut Godard and Andy Worhol.,0.415186,0.113451,0.015178,0.366487,0.018593,Anger
And for petes sake push that vein back in your neck.,0.241505,0.312797,0.32129,0.029469,0.266121,Fear
You look like a cabbage.,0.061379,0.146205,0.316533,0.074532,0.431213,Sadness
If you really have to watch this movie because your girlfriend is in a romantic mood let it be boy.,0.183937,0.122937,0.010895,0.363346,0.205185,Joy
But prepare yourself by bringing your hp if it comes with a radio.,0.135253,0.114208,0.081348,0.32293,0.234418,Joy
After having watched such a good movie as Arisan 2003 it is terrible to see what they come up with again in Indonesia.,0.199177,0.162139,0.112903,0.235859,0.23474,Joy
It seems that the only idea is to make money but no one seems seriously to work on the image of Indonesia in the world of entertainment.,0.139466,0.350889,0.078771,0.013816,0.558347,Sadness
That it is a global world doesnt seem to come up in the minds of those who make movies in Indonesia.,0.093749,0.081373,0.122126,0.207352,0.407267,Sadness
And since the Indonesian public swallows everything that is presented to them as Made in Indonesia with a flavor of the west they get away with it.,0.18962,0.594982,0.085534,0.080211,0.146982,Disgust
OK the story is nice to begin with.,0.029327,0.010185,0.114294,0.649288,0.066383,Joy
And it could have developed into a nice flick.,0.040169,0.040084,0.057657,0.560015,0.151238,Joy
Every single word you hear is followed seconds LATER by the actor or whoever sing playback and it is extremely annoying while watching the movie.,0.306671,0.244635,0.051519,0.257107,0.11467,Anger
The choreography is as if they planned to make a movie about morning gymnastics but in the end thought it would be nice to turn it into a musical.,0.054454,0.049998,0.101841,0.458775,0.182284,Joy
They only forgot to change the choreography.,0.184918,0.088073,0.290207,0.055734,0.454359,Sadness
It is hardly dancing you see they jump here and there throw their legs up in the air and that is about it.,0.171957,0.711761,0.057486,0.023823,0.167809,Disgust
Well at least theres a happy ending.,0.014801,0.009847,0.023284,0.689799,0.126893,Joy
But if you can convince your girlfriend that a nice candlelight dinner is much more romantic DO SO. at the beginning i was happy to know about a new superman movie  i though that will be great but it wasnt.,0.009334,0.004275,0.011452,0.923477,0.01581,Joy
is a bad copy of the Richard Donner workLex is again a villain that makes no more else  even played by Kevin spice.,0.110297,0.098923,0.343716,0.004632,0.557861,Sadness
the evil plan is the same of the first movie of Donner just a lot forced.,0.283098,0.270919,0.4283,0.04609,0.128695,Fear
the script is predictable and simple all stuff Luthor finds in a museum or an old lady.,0.063844,0.168528,0.174565,0.391637,0.093631,Joy
the story is the wrong thing  it must be the Kevin Smith Script and may be it could be better.,0.231349,0.253521,0.346075,0.022591,0.310023,Fear
i just hope a sequel without Brian Singer and with a new talent director to do something new and not a copy.,0.060386,0.069007,0.148526,0.479127,0.105313,Joy
all read you later.,0.174023,0.049072,0.295437,0.320902,0.066202,Joy
Leave it to Paul sex on the brain Verhoeven to come up with a pointlessly sleazy and juvenile version of the INVISIBLE MAN story.,0.105439,0.563472,0.119881,0.002002,0.377776,Disgust
If hed direct a Pokemon film Im sure hed turn it into some massive orgy of sorts.,0.225679,0.532269,0.257033,0.011537,0.174902,Disgust
Its a shame because it could have been good if the film didnt spend so much time having an invisible Kevin Bacon grope women.,0.113639,0.437328,0.110416,0.019963,0.45578,Sadness
The game cast of actors does what it can with the onenote cheesy script but I felt bad for some of them including William Devane who is totally wasted here.,0.26918,0.335358,0.309926,0.002601,0.296561,Disgust
But then what could I have expected from the director of SHOWGIRLS which btw is much more entertaining than this stilted  bad film.,0.267647,0.324929,0.1939,0.028501,0.352422,Sadness
Good performances cant save this terrible script larded with every cliche in the chickflick book.,0.553651,0.192185,0.27576,0.036877,0.108584,Anger
The Stock Market Crash of 1929 and the Depression following almost ruined the American Musical Theater in fact it was the final death blow to vaudeville.,0.092223,0.032025,0.219263,5e-05,0.748557,Sadness
Those behind the curtains were hit as bad as those in front.,0.267684,0.43251,0.269143,0.00195,0.25156,Disgust
In an effort to stimulate the show business economy and his own personal economy out of work theater director James Cagney comes up with a brilliant idea.,0.219428,0.030905,0.299434,0.247493,0.130737,Fear
Stage live relevant prologues to the movies that are being shown at the various movie theaters that are springing up overnight from the old theaters.,0.06112,0.064912,0.109052,0.360191,0.257207,Joy
Some other competitors get wind of it and the competition is on.,0.045603,0.037893,0.51518,0.104671,0.269879,Fear
Footlight Parade is my favorite Busby Berkeley film.,0.078637,0.043802,0.078361,0.578369,0.090245,Joy
It gives James Cagney a chance to display some of his versatility as a dancer as well as a tough guy.,0.085385,0.116253,0.209039,0.0774,0.526366,Sadness
In his retirement Cagney said that while he screened his few and far between musicals a lot he could barely be bothered with some of his straight dramatic films.,0.186466,0.318566,0.119517,0.00685,0.530823,Sadness
He wished hed done a few more musicals in his career and I wish he had.,0.061834,0.110398,0.199878,0.089366,0.534167,Sadness
Of course the staging of these Busby Berkeley extravaganzas on the stage of a movie palace defies all logic and reason.,0.238044,0.087456,0.201539,0.156885,0.297526,Sadness
But its so creative and fun to watch.,0.029658,0.017641,0.009474,0.847184,0.032197,Joy
Dick Powell gets to sing three songs in Footlight Parade Ah the Moon is Here Honeymoon Hotel and By a Waterfall the last two with Ruby Keeler further cementing that screen team.,0.091418,0.151095,0.033407,0.390314,0.207742,Joy
Ruby sings and dances with Powell in the last two and she partners with James Cagney in my favorite number from Footlight Parade Shanghai Lil.,0.063425,0.092909,0.099871,0.297843,0.315725,Sadness
Joan Blondell is Cagneys no nonsense girl Friday at the theater.,0.081944,0.13201,0.128558,0.238535,0.326586,Sadness
Like in Blonde Crazy shes the one with the real brains in that duo and its her quick thinking that bails him out of some domestic problems he has on top of his theatrical ones.,0.143297,0.381203,0.169593,0.071888,0.321203,Disgust
One of Blondells best screen roles.,0.034885,0.027046,0.022986,0.551036,0.198969,Joy
Look for Dorothy Lamour and Ann Sothern in the chorus as per the IMDb pages for both of them.,0.189474,0.232743,0.223351,0.098327,0.31511,Sadness
John Garfield is seen briefly in the Shanghai Lil number.,0.11407,0.411582,0.266484,0.08467,0.204619,Disgust
And in a scene at the beginning of the film producer Guy Kibbee takes Cagney to a movie theater where they are showing a B western starring John Wayne.,0.117506,0.472694,0.045696,0.21748,0.11666,Disgust
The Dukes voice is unmistakable.,0.118715,0.035988,0.1353,0.277128,0.312331,Sadness
But whats even more unusual is that the brief clip shows him in a scene with Frank McHugh who plays another Cagney assistant in Footlight Parade.,0.037479,0.51524,0.071168,0.050106,0.403341,Disgust
I think the brothers Warner were playing a little joke there.,0.247572,0.490084,0.072658,0.041179,0.291557,Disgust
Ive got to believe that clip was deliberate.,0.031422,0.201917,0.04886,0.317374,0.277344,Joy
Footlight Parade is Busby Berkeley at his surreal best.,0.037495,0.037312,0.045893,0.692145,0.072116,Joy
this is the perfect example of something great going awfully bad.,0.187865,0.053483,0.131158,0.30971,0.215102,Joy
hence can i advice anyone to watch it well i was kinda obliged by the fact that in was in the tiff competition i still cant believe it won.,0.278915,0.356461,0.091207,0.041387,0.365196,Sadness
and i only remained until the end because the director was there for a qa section.,0.307079,0.059803,0.114506,0.028262,0.586993,Sadness
but that was also anything but interesting.,0.106228,0.052107,0.035144,0.453831,0.204515,Joy
whats it about well the first half the worth watching one presents three characters a hooker a musician and some kind of official.,0.08454,0.157522,0.037887,0.556578,0.055225,Joy
the first two lie about their professions.,0.224623,0.262414,0.07482,0.196021,0.23252,Disgust
but the third is the actual liar.,0.605625,0.487426,0.052304,0.007029,0.063697,Anger
the second half do something else.,0.217438,0.18275,0.236385,0.059305,0.399136,Sadness
dont ruin a good evening includes some old breasts and heavy drinking.,0.095042,0.11322,0.174022,0.212837,0.326092,Sadness
but maybe you will see it completely different.,0.330621,0.17403,0.112289,0.086623,0.366757,Sadness
the tiff jury did were they drinking vodka .,0.245274,0.23102,0.140648,0.147719,0.254486,Sadness
I am currently doing film studies at A. S level and this is not a love song is a film we watched and in my opinion it is a film with a very simple storyline but a complex backstory.,0.077546,0.077251,0.082646,0.561934,0.076539,Joy
If you scratch the surface you will find a thrillerchase film of two men running through the countryside from farmers after committing a murdersounds quite exiting.,0.188009,0.239206,0.232469,0.098806,0.300185,Sadness
However you need to dig deeper to uncover the true feeling of the true genre.,0.052965,0.157852,0.084698,0.146629,0.503053,Sadness
As it is suggested it is a love story between two homosexual lovers filled with trust deceit and betrayal.,0.158326,0.133349,0.023784,0.263728,0.32175,Sadness
Overall this film is a good example of why British films should not be dismissed as rubbish just because they are done on a low budget.,0.297973,0.707367,0.049559,0.00867,0.118604,Disgust
A Good film with an intricate story line however it is definitely an acquired taste and is possibly not suitable for the average fan of Hollywood blockbusters.,0.051605,0.322405,0.010775,0.453516,0.058106,Joy
I was an usherette in an old theater in Northern California when this movie came out.,0.105867,0.108012,0.158738,0.240267,0.296967,Sadness
As good as it is on DVD its even more eerie and terrifying on the big screen.,0.019048,0.141289,0.448795,0.187329,0.141101,Fear
Although it has been about 9 years since I have seen it it is still one of my alltime favorites.,0.057817,0.032619,0.051655,0.340957,0.352079,Sadness
even the soundtrack has a haunting quality to it.,0.056876,0.125669,0.487472,0.08988,0.255033,Fear
I highly recommend you not watch it alone.,0.37358,0.139394,0.445336,0.031856,0.161267,Fear
What a brownstone apartment was renting for in 1977 alone will have you gasping it would be at least 10times that price today.,0.067378,0.101477,0.192749,0.00502,0.726044,Sadness
Probably the only thing that got the movie up to a four for me is the fact that I love Peter Falk.,0.020674,0.049423,0.106399,0.505856,0.159265,Joy
One of the worlds great portrayers of bumbling incompetence .,0.06024,0.058319,0.062439,0.568703,0.113479,Joy
and yet he is one of the only anchors that prevents this from being a chaotic disaster.,0.381497,0.11444,0.224111,0.003226,0.448409,Sadness
As Pops Romano he provides a respectable mix of gangster charm and straight man to Chris Kattans manic foolishness.,0.109857,0.481612,0.037069,0.132241,0.251832,Disgust
The plot concept actually has some wonderful possibilities and in the hands of a young Steve Martin or Chevy Chase could have proved a great comedic vehicle.,0.065606,0.116436,0.143849,0.527228,0.031996,Joy
Kattan who seems to idolize Ernest or Pee Wee Herman just provides a muddled mess.,0.235213,0.57818,0.154239,0.001687,0.239108,Disgust
Sadly Peter Berg and Chris Penn who portray his misfit brothers both fall far short of their proven capability.,0.073675,0.178153,0.254748,0.002155,0.616234,Sadness
There are some very funny scenes but they are far too few and separated by way too many boring ones.,0.164727,0.253256,0.074289,0.049224,0.547396,Sadness
What I truly miss here is what always attracted me to the Leslie Neilsen movies.,0.031237,0.011009,0.178515,0.056919,0.704167,Sadness
There is no second level of wit riding over the slapstick.,0.203228,0.226777,0.182387,0.170689,0.223653,Disgust
No cultural references that only the adults get.,0.281091,0.305384,0.168133,0.046371,0.335344,Sadness
no double entendre.,0.171227,0.131477,0.172706,0.172181,0.321531,Sadness
it is just silly.,0.28332,0.153671,0.138246,0.042336,0.488343,Sadness
And by the way this doesnt all mean that I am recommending it for your 9yearold because hopefully they have better taste and less fascination with some of their body parts and their functions.,0.095364,0.146804,0.121619,0.325427,0.203107,Joy
What more can I say The acting was almost without exception amateurish.,0.171977,0.179123,0.121604,0.117015,0.423836,Sadness
The directing and continuity were pitiful.,0.284783,0.170685,0.192175,0.032902,0.445374,Sadness
The sceenplay was predictable down to the very last scene and the dialog tedious.,0.110354,0.278647,0.049177,0.009011,0.670786,Sadness
One of the features on the DVD was labeled Gag Reel but that could have been a description of a viewers reaction to most of the movie.,0.174584,0.239776,0.120316,0.040455,0.51856,Sadness
One of the most amusing things was in the directors comments on the DVD.,0.152517,0.138681,0.172036,0.303505,0.155069,Joy
He said with a straight face that he had set out to make a movie with high production values and a name cast  and that he had succeeded.,0.042308,0.06308,0.044685,0.573767,0.134391,Joy
With delusions like that its easy to understand how the movie turned out as it did.,0.049931,0.193795,0.043949,0.090028,0.608303,Sadness
Perhaps the most disappointing aspect was the monster.,0.067899,0.375578,0.117191,0.007129,0.566564,Sadness
The darkwolf suit was a modified ape suit per the making of feature on the DVD and rather looked it.,0.153228,0.233115,0.182526,0.099181,0.374423,Sadness
The mask and claws were little better than off the shelf jobs from any costume store.,0.24639,0.060413,0.205312,0.070642,0.465415,Sadness
The cgi effects were painfully obvious and of quality similar to an inexpensive video game.,0.224696,0.109125,0.137103,0.020113,0.614794,Sadness
Flynn known mostly for his swashbuckling roles and his bedroom antics takes a different tack with this film and it works beautifully.,0.221033,0.226179,0.233597,0.094521,0.293372,Sadness
He and best pal Carson attend an illegal bareknuckle fight and are arrested along with scores of other men and a dog including a prominent judge.,0.229509,0.541065,0.111019,0.064313,0.176075,Disgust
The next day he gets a chance via Smith to gain entrance to the judges private club.,0.096855,0.293098,0.077765,0.288017,0.170666,Disgust
He uses this opportunity to weasel his way into the good graces of its exclusive members and land a spot as the clubs resident boxer.,0.077804,0.1574,0.011414,0.56333,0.077876,Joy
His unusually adept skill in the sport soon has him taking on all comers up to and including the world champion John L.  Flynn is downright magical here.,0.127271,0.091569,0.049686,0.485938,0.120047,Joy
